,,image_auroc,image_auroc,image_ap,image_ap,normal_fpr_conformal,normal_fpr_conformal,interior_image_auroc,interior_image_auroc,interior_image_ap,interior_image_ap,interior_normal_fpr,interior_normal_fpr,valid_grid_fraction,valid_grid_fraction,valid_pixel_fraction,valid_pixel_fraction
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,condition,,,,,,,,,,,,,,,,
freqpatch_lite,east_constant,0.6287139412407166,0.14308869038218075,0.8343235303287002,0.08363925035149701,0.8995767195767196,0.28436518105578523,0.7654535863895505,0.15109016644914378,0.9043424844778013,0.06645586406456525,0.6155130000754365,0.42744470341974394,0.9642857142857143,0.0,0.9642857142857143,0.0
freqpatch_lite,north_constant,0.7416824691562875,0.1779109580858984,0.8780671142710635,0.1204628004926986,0.6628070484168045,0.40328149344044506,0.831566194240605,0.17435612100173226,0.9243449755967169,0.09010273104632753,0.3408522285095055,0.37453380516898105,0.9642857142857143,0.0,0.9642857142857143,0.0
freqpatch_lite,northeast_constant,0.5957999248439948,0.1426765222846479,0.8026871294595737,0.10773821105215986,0.9312169312169313,0.25208991541528863,0.7400060532838727,0.16984513531676668,0.8913049929907608,0.07852375122026455,0.8497400837644741,0.28682924721978004,0.9298469387755102,0.0,0.9298469387755102,0.0
freqpatch_lite,northwest_constant,0.6080015109508662,0.19431020006819832,0.8086313675549301,0.11957791087289842,0.8717652717652717,0.30591933793690235,0.717073614196011,0.18714405621878288,0.8805250254494861,0.0808638638065481,0.8070938055693047,0.3437365838998478,0.9298469387755102,0.0,0.9298469387755102,0.0
freqpatch_lite,south_constant,0.6418553084229843,0.14188858316622507,0.832881448580594,0.1217284407017415,0.9057671957671959,0.2675390072689471,0.7876637447993715,0.15423110145505686,0.9053807906491141,0.08768424064594256,0.5676656346799324,0.4431566245856783,0.9642857142857143,0.0,0.9642857142857143,0.0
freqpatch_lite,southeast_constant,0.6217710874588912,0.14388750089134725,0.8217945128713212,0.1165575200428274,0.9301587301587301,0.25230334508819385,0.7298912540092066,0.1798007828838051,0.883409302332992,0.09156695768873684,0.8641446949773275,0.29568399046641586,0.9298469387755102,0.0,0.9298469387755102,0.0
freqpatch_lite,southeast_reflect,0.8526011706217557,0.15798399122801807,0.9258634017233891,0.0929499762252955,0.1900441398965797,0.24906688761656898,0.8728968974662147,0.1579465466554164,0.9397921295144924,0.08471401148245253,0.12299192651249934,0.16289354895101046,0.9298469387755102,0.0,0.9298469387755102,0.0
freqpatch_lite,southeast_reflect_inverse_registered,0.8585896793417599,0.1723687341761884,0.9328493511433995,0.0932693436897221,0.11655378392537573,0.21674062386319176,0.8818761740925197,0.15010132442276128,0.9489831203649228,0.0739914069633448,0.11745038600967425,0.18557286038148268,0.8622448979591837,0.0,0.8622448979591837,0.0
freqpatch_lite,southeast_replicate,0.8329830637742792,0.16712847215093365,0.9221274390482088,0.08727757936387931,0.26610536030217397,0.3556667169976447,0.8684721526289058,0.15337610318765899,0.9405370002633046,0.07932786830440287,0.17708195572447977,0.2644989337330184,0.9298469387755102,0.0,0.9298469387755102,0.0
freqpatch_lite,southwest_constant,0.5965262140179635,0.15434534271340689,0.8019490217542178,0.11407045280134326,0.9259259259259258,0.2539231561690938,0.7442716183357216,0.1483783432490295,0.8871744336410005,0.08000149117846025,0.8186500472707369,0.3569310527757828,0.9298469387755102,0.0,0.9298469387755102,0.0
freqpatch_lite,west_constant,0.6364088567113184,0.18405869252641327,0.8221899844007879,0.12468756957588019,0.8474266474266474,0.3335736617541248,0.743512273943984,0.17870831038113413,0.8907850984939568,0.08292851883937535,0.6694094125945306,0.41069497032746405,0.9642857142857143,0.0,0.9642857142857143,0.0
patchcore_lite,east_constant,0.6301727247417807,0.13929238564852836,0.8351432307404097,0.08583716589539753,0.9114285714285714,0.26038599386461975,0.7617237131622807,0.15267231707584666,0.9031178044443653,0.06605804380003466,0.6255825170846087,0.4246641170936452,0.9642857142857143,0.0,0.9642857142857143,0.0
patchcore_lite,north_constant,0.749218254301249,0.17800522032428326,0.8793330196810237,0.12536817773558953,0.6232760909869917,0.43504265729923536,0.8298596403016346,0.17532639328406702,0.9233823642364083,0.09088521742514699,0.34704664120517975,0.3723747682224283,0.9642857142857143,0.0,0.9642857142857143,0.0
patchcore_lite,northeast_constant,0.5967161390534477,0.14282789730362974,0.8031342918246851,0.10898313629418233,0.9312169312169313,0.25208991541528863,0.733251968497579,0.17081795467262142,0.8877777305286252,0.07913052483365719,0.8521937874681778,0.2869914915941582,0.9298469387755102,0.0,0.9298469387755102,0.0
patchcore_lite,northwest_constant,0.5923076461994147,0.17936000202756258,0.8029353819454753,0.1144940570618432,0.8717652717652717,0.30591933793690235,0.7044367707657699,0.18506170354887638,0.8745651220169484,0.08033848647629746,0.8078874563629554,0.3440645109798218,0.9298469387755102,0.0,0.9298469387755102,0.0
patchcore_lite,south_constant,0.645898803127904,0.14139036277329373,0.836464208867768,0.1217435078369179,0.9002116402116402,0.26669858740527635,0.7796780730594128,0.1605764190394637,0.9009440493720695,0.09143528031388351,0.5777625811561893,0.43739038295881194,0.9642857142857143,0.0,0.9642857142857143,0.0
patchcore_lite,southeast_constant,0.6151584454403085,0.14729112697561567,0.8178045567605295,0.11901662928508955,0.9301587301587301,0.25230334508819385,0.7262076020737674,0.17989121106981293,0.8802470256095108,0.09356428041093096,0.8790999951050414,0.277908625549303,0.9298469387755102,0.0,0.9298469387755102,0.0
patchcore_lite,southeast_reflect,0.8529396658131068,0.15828510111633096,0.9258906491019117,0.09370540963098861,0.1858785422322436,0.24304027075667578,0.8733543961815343,0.15810545210310045,0.9402245791556657,0.08495128219460886,0.11868743995927436,0.15444229712605642,0.9298469387755102,0.0,0.9298469387755102,0.0
patchcore_lite,southeast_reflect_inverse_registered,0.8589241833795144,0.1724178331741328,0.9331056632380459,0.09334432298154767,0.11605807480161782,0.2163431593987227,0.8823087197541026,0.1500887389474287,0.949422261853971,0.07392671053653573,0.11594366985555617,0.18495060620645534,0.8622448979591837,0.0,0.8622448979591837,0.0
patchcore_lite,southeast_replicate,0.83346877728085,0.16645274477164795,0.922471356571626,0.08721546806053194,0.26381236036343014,0.3486274450737897,0.8687310345496202,0.15344403816355773,0.9409395046797262,0.07928331834418718,0.1745156846594703,0.258854833324678,0.9298469387755102,0.0,0.9298469387755102,0.0
patchcore_lite,southwest_constant,0.583453202739209,0.12730817573310987,0.7957072254738323,0.10548220304939722,0.9259259259259258,0.2539231561690938,0.7297384101030968,0.15007899148140263,0.8806891933601965,0.08189909289531674,0.8291214277421174,0.3413795729696569,0.9298469387755102,0.0,0.9298469387755102,0.0
patchcore_lite,west_constant,0.6146713550076631,0.1616906656936681,0.811565029719872,0.1211864500512187,0.8474266474266474,0.3335736617541248,0.7347266141898244,0.1781330123584239,0.8863541543236936,0.08263267690224128,0.6798823120147984,0.40250778943915505,0.9642857142857143,0.0,0.9642857142857143,0.0
