method,image_auroc_mean,image_auroc_sd,image_auroc_ci_low,image_auroc_ci_high,image_ap_mean,image_ap_sd,image_ap_ci_low,image_ap_ci_high,pixel_auroc_mean,pixel_auroc_sd,pixel_auroc_ci_low,pixel_auroc_ci_high,pixel_ap_mean,pixel_ap_sd,pixel_ap_ci_low,pixel_ap_ci_high,image_f1_conformal_mean,image_f1_conformal_sd,image_f1_conformal_ci_low,image_f1_conformal_ci_high,image_precision_conformal_mean,image_precision_conformal_sd,image_precision_conformal_ci_low,image_precision_conformal_ci_high,image_recall_conformal_mean,image_recall_conformal_sd,image_recall_conformal_ci_low,image_recall_conformal_ci_high,image_specificity_conformal_mean,image_specificity_conformal_sd,image_specificity_conformal_ci_low,image_specificity_conformal_ci_high,image_balanced_accuracy_conformal_mean,image_balanced_accuracy_conformal_sd,image_balanced_accuracy_conformal_ci_low,image_balanced_accuracy_conformal_ci_high,normal_fpr_conformal_mean,normal_fpr_conformal_sd,normal_fpr_conformal_ci_low,normal_fpr_conformal_ci_high,false_alarms_per_1000_normals_mean,false_alarms_per_1000_normals_sd,false_alarms_per_1000_normals_ci_low,false_alarms_per_1000_normals_ci_high
PatchCore-WR50-256,0.870487959457462,0.1495029983172421,0.7896657261273464,0.9388674153447274,0.9403101786619014,0.0704041860287919,0.9021781826436008,0.9723066350951279,0.9470824109952948,0.03751312827417331,0.9272259369854927,0.9646264087383136,0.4556672082979636,0.21232593807509184,0.3481221717713799,0.5601580436338461,0.6779507184579262,0.3279250846046343,0.5086162513574671,0.8309170119135865,0.8833723227544437,0.24884013624319412,0.7427659640904799,0.9707917046048499,0.604350280236538,0.3456666354960626,0.4296208789775383,0.7719947480470666,0.9548130590784335,0.04701177894775008,0.9328957338634538,0.974514586675194,0.7795816696574858,0.17982889506135813,0.6886117280289942,0.8676170864369962,0.04518694092156638,0.04701177894775007,0.02548541332480613,0.06710426613654631,45.186940921566396,47.011778947750074,25.48541332480613,67.10426613654631
PatchCore-Lite,0.8688046406462694,0.15807442023399357,0.7857186669764639,0.9379539464003209,0.9392812447941565,0.08203100410472432,0.8955378728504482,0.9747376396244005,0.9497339408344315,0.04034917727883106,0.9285921704722104,0.9683778814481309,0.46154438530941955,0.20710481799369487,0.3542489436138793,0.5615783101700236,0.6498017934996654,0.3311421851635628,0.48104516736738306,0.7999221619974655,0.876992961155537,0.2591744530109981,0.7276142777565318,0.9736328309082535,0.5722871172476848,0.342728635041641,0.40093544164977485,0.7343089771008307,0.9435531946877003,0.07103090384775619,0.9136156580579783,0.9693912530490265,0.7579201559676927,0.17079581731737176,0.672887511018268,0.8394713666939794,0.05644680531229954,0.07103090384775619,0.030608746950973407,0.08638434194202187,56.44680531229955,71.03090384775619,30.608746950973405,86.38434194202189
CalibFreq-Patch (ours),0.8685369368058997,0.15790587337605203,0.7856941525632294,0.9378822886195506,0.939040572123573,0.08193639332076451,0.8953600369599897,0.9745083600337205,0.9497871157412643,0.04038318351050824,0.9286146449924431,0.9684539267601977,0.4624289778703819,0.208255942746367,0.35526478889284974,0.5630877071468937,0.6454352904234532,0.3330344227808028,0.47636579641550764,0.7953606967364795,0.873522880831562,0.26468914222070744,0.7217568346099867,0.9724741166481277,0.5688767083542096,0.34697180522771937,0.3971743778590074,0.7313229761480323,0.9423167448232017,0.07076870847305262,0.9122651343145446,0.9682142959932701,0.7555967265887058,0.17247866035016154,0.6698262309385925,0.8381390153979292,0.05768325517679819,0.07076870847305262,0.03178570400673001,0.08773486568545547,57.6832551767982,70.76870847305263,31.785704006730008,87.73486568545549
PaDiM-Diag,0.8412661137116004,0.1296266810329096,0.77592662202355,0.9024403927169385,0.9182114291692826,0.08002597115570184,0.8769637450735583,0.9541701330386462,0.9359060055169218,0.030499647493861925,0.9205696110806414,0.9510069356093303,0.27256859794816307,0.14129956682020128,0.20544618935393438,0.34261826404563567,0.5299896937407579,0.3160881072513207,0.382738056967662,0.6811421753599648,0.8824255336954584,0.2489400108483413,0.7432309126326443,0.9653829890198344,0.435738947315896,0.324814605078952,0.2857347363262428,0.5972409705879524,0.9469019641529062,0.06141391336128998,0.9212757530875278,0.97076870914796,0.691320455734401,0.1525768786951134,0.6204527847547967,0.7688992384306956,0.053098035847093765,0.061413913361289964,0.029231290852039935,0.07872424691247198,53.09803584709377,61.41391336128997,29.231290852039926,78.72424691247197
PaDiM-Diag + gate,0.8412433304209027,0.12969016177810275,0.7761282947117587,0.9027314119852013,0.9182502429133333,0.08051920824433885,0.8768811592713899,0.9544146161099593,0.9360529063331683,0.030590188480031387,0.9206603830593263,0.951182510744427,0.27444887782145005,0.1414279999081643,0.20719592020474087,0.3444722702498378,0.5311064393956583,0.315394093186404,0.38379270329025317,0.6830161984873127,0.8818900778576054,0.24858272828025385,0.7429137599880868,0.9648766455903097,0.4368530539355467,0.32515341928993896,0.28623375884850766,0.5990212717016168,0.94616360227324,0.05919222927620891,0.9204771168313983,0.9698666914057313,0.6915083281043932,0.1526857373878434,0.6203878373964219,0.7690266765206403,0.053836397726759994,0.0591922292762089,0.03013330859426866,0.07952288316860151,53.83639772675999,59.1922292762089,30.13330859426866,79.52288316860151
Frequency only,0.6795325690767193,0.14454514341884395,0.6082665718125114,0.7491609271450713,0.8469184469062369,0.0941352496852365,0.7990380130317876,0.8918237064179346,0.7762457322432414,0.1172131123576812,0.7144420299947805,0.8305816174182372,0.17897296628046003,0.11414059378158335,0.12399115352692562,0.23575281355686176,0.3075951702662225,0.24613288963929908,0.19892532017968798,0.43038941363749644,0.81409328965141,0.2930234864481755,0.6568491541940621,0.932511325793378,0.22920387087725405,0.24480223026281883,0.12621403231205275,0.36084367281509155,0.885826197563591,0.24297491230973672,0.7480796414607254,0.976556220358831,0.5575150342204226,0.08316328461390617,0.5187852188307426,0.597563121412531,0.11417380243640894,0.24297491230973672,0.02344377964116875,0.2519203585392744,114.17380243640893,242.97491230973677,23.443779641168756,251.92035853927445
