method,translation_px,brightness,image_auroc,image_ap,pixel_auroc,pixel_ap,image_f1_conformal,image_precision_conformal,image_recall_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,false_alarms_per_1000_normals
freqpatch_lite,0.0,0.85,0.8504015291692603,0.9316054983911677,0.9414020788729627,0.44323018631799926,0.6273800527376905,0.8773185575772551,0.5571344657332171,0.9024677425713452,0.7298011041522812,0.0975322574286547,97.5322574286547
freqpatch_lite,0.0,1.0,0.8589317597482364,0.9336777426694454,0.9500373595696305,0.4617741204026196,0.6254918238731206,0.8840117486697904,0.5420374497119996,0.9455688893663688,0.7438031695391842,0.05443111063363116,54.431110633631164
freqpatch_lite,0.0,1.15,0.8545814416904034,0.9340239714522965,0.941986248743396,0.4494161883323952,0.6632932062304853,0.8819393039791981,0.5896409261404689,0.9017800694905925,0.7457104978155307,0.09821993050940757,98.21993050940756
freqpatch_lite,4.0,0.85,0.6151882671946451,0.8171958793731603,0.8237900630277941,0.09593160061116282,0.7767935058773385,0.6750277480200502,0.928654970760234,0.06984126984126984,0.4992481203007519,0.9301587301587302,930.1587301587301
freqpatch_lite,4.0,1.0,0.6191316372752947,0.8208978500123448,0.8346850591908332,0.10642509724468545,0.7731232367525239,0.6745425882026985,0.9204678362573099,0.07619047619047618,0.49832915622389307,0.9238095238095239,923.8095238095237
freqpatch_lite,4.0,1.15,0.6168444379570178,0.8212492374709258,0.8300688844109989,0.11172452801779302,0.7728546995855912,0.6750130183102255,0.9192982456140351,0.07936507936507936,0.49933166248955724,0.9206349206349207,920.6349206349206
freqpatch_lite,8.0,0.85,0.5871354239503265,0.7988863643756584,0.7997347013067558,0.08539723492723598,0.7787308278146605,0.6753438702539806,0.9333333333333333,0.06666666666666667,0.5,0.9333333333333333,933.3333333333334
freqpatch_lite,8.0,1.0,0.5769854330952858,0.795477008717108,0.8096130150750528,0.09283139815996524,0.7787308278146605,0.6753438702539806,0.9333333333333333,0.06666666666666667,0.5,0.9333333333333333,933.3333333333334
freqpatch_lite,8.0,1.15,0.5937242399691721,0.8034227812068835,0.8033658777290043,0.0968279464161006,0.7787308278146605,0.6753438702539806,0.9333333333333333,0.06666666666666667,0.5,0.9333333333333333,933.3333333333334
patchcore_lite,0.0,0.85,0.8498415658214209,0.9313860847244229,0.9413243108739542,0.44228656504261077,0.6386436389716992,0.8779212881799857,0.5662779916328471,0.9016525251800409,0.7339652584064441,0.09834747481995905,98.34747481995905
patchcore_lite,0.0,1.0,0.8592339644872422,0.9341084564391677,0.9499854198989299,0.46066065570871734,0.6366853088887185,0.8838500164469614,0.5513912683832763,0.9455688893663688,0.7484800788748226,0.05443111063363116,54.431110633631164
patchcore_lite,0.0,1.15,0.8548060037556583,0.9344519914333136,0.9418974719341623,0.44753683980622944,0.6731502666009809,0.8828029639970991,0.5973234096109987,0.9041610218715448,0.7507422157412716,0.09583897812845518,95.8389781284552
patchcore_lite,4.0,0.85,0.6076846389157302,0.8151317289237606,0.8250903072630111,0.09906694566138376,0.7767935058773385,0.6750277480200502,0.928654970760234,0.06984126984126984,0.4992481203007519,0.9301587301587302,930.1587301587301
patchcore_lite,4.0,1.0,0.6112242397147062,0.8164946803557048,0.8359069915747669,0.11034472077761505,0.7731232367525239,0.6745425882026985,0.9204678362573099,0.07619047619047618,0.49832915622389307,0.9238095238095239,923.8095238095237
patchcore_lite,4.0,1.15,0.6148825380969801,0.8184419274764839,0.8309927652733292,0.1147875829917771,0.7728546995855912,0.6750130183102255,0.9192982456140351,0.07936507936507936,0.49933166248955724,0.9206349206349207,920.6349206349206
patchcore_lite,8.0,0.85,0.5914301251687025,0.8024429465755563,0.8026031160724801,0.09247991566314132,0.7787308278146605,0.6753438702539806,0.9333333333333333,0.06666666666666667,0.5,0.9333333333333333,933.3333333333334
patchcore_lite,8.0,1.0,0.5898210741450399,0.8031593001993887,0.8125324937073458,0.1020385101410791,0.7787308278146605,0.6753438702539806,0.9333333333333333,0.06666666666666667,0.5,0.9333333333333333,933.3333333333334
patchcore_lite,8.0,1.15,0.589589509809485,0.7997893535544787,0.805964967681104,0.10650470266729353,0.7787308278146605,0.6753438702539806,0.9333333333333333,0.06666666666666667,0.5,0.9333333333333333,933.3333333333334
