,,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,image_f1_conformal,image_f1_conformal,image_precision_conformal,image_precision_conformal,image_recall_conformal,image_recall_conformal,image_specificity_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,false_alarms_per_1000_normals
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,requested_fit_images,,,,,,,,,,,,,,,,,,,,,,
freqpatch_lite,16,0.7853547525089006,0.1780238570683284,0.8945580050168882,0.10409999929656878,0.9208992961433302,0.06404975148709911,0.37951037198308224,0.2087801500763461,0.5485928055947049,0.34035636659633844,0.8565422639218265,0.2625022449121114,0.4627457102912593,0.3558798460675696,0.939794473331523,0.06756697447766599,0.7012700918113912,0.1816889163629225,0.060205526668477,0.06756697447766598,60.20552666847699,67.56697447766598
freqpatch_lite,32,0.8338636964000613,0.16106861548402973,0.9185228946463811,0.08914034616245643,0.9359450644564418,0.05220488426658667,0.4217162928797921,0.20730041151708425,0.543001253707253,0.35248778579484935,0.8494670818148874,0.27458512947189506,0.4612827618215961,0.36622267182116536,0.9477575628735599,0.05217945213207813,0.704520162347578,0.18454538836304954,0.05224243712644008,0.05217945213207812,52.24243712644009,52.17945213207812
freqpatch_lite,64,0.858635778175003,0.14866310041586586,0.9326380683099735,0.08102327906650238,0.9449746307045707,0.04491315825338663,0.44586018292113205,0.2092424455148632,0.600739265743795,0.3335114545767007,0.8873986049429906,0.25398939173956286,0.5154403404255052,0.3499570864218004,0.9441136624593748,0.07717372943694174,0.72977700144244,0.16765715604770343,0.05588633754062512,0.07717372943694176,55.88633754062513,77.17372943694177
freqpatch_lite,128,0.8685864486651874,0.16587555749958857,0.9381810198018606,0.08852774964336363,0.948823781094905,0.04185673410237576,0.459756327507306,0.21341355648729984,0.6456318820574382,0.33442147430296554,0.867962094906872,0.2702784187319789,0.5620276038993516,0.34489266173629435,0.9456877265795857,0.06461271746275132,0.7538576652394686,0.1815298441195516,0.05431227342041431,0.06461271746275131,54.31227342041431,64.61271746275132
patchcore_lite,16,0.7850763765574479,0.17815365833860655,0.8946715153344248,0.10396613731631195,0.9208690767950493,0.0640203852659934,0.37879652796053226,0.20749527676364757,0.5492547087738291,0.33670112560003695,0.855733150211807,0.2577232027289535,0.4626992023744828,0.35164710650228787,0.936346197469454,0.06841772267658863,0.6995226999219685,0.17932977167901815,0.06365380253054596,0.06841772267658866,63.65380253054596,68.41772267658865
patchcore_lite,32,0.834038379037172,0.16068482793927402,0.9186814277553366,0.08901891200866224,0.9359105453826049,0.05217208894382274,0.42093330702528603,0.20587404334129505,0.5453260932448973,0.3508110687490254,0.8445154101421167,0.27222879348913553,0.4629404419626442,0.3625975599874568,0.9466464517624488,0.051154931221333876,0.7047934468625464,0.1831104889889285,0.053353548237551195,0.051154931221333855,53.353548237551195,51.154931221333854
patchcore_lite,64,0.8591561784000364,0.14844763118216048,0.9331601018100334,0.08090672401432335,0.9449295748056558,0.04487006683274776,0.44501939679416763,0.20797625963913732,0.6147560807171496,0.32145228257942987,0.8873043935294389,0.2539843544418621,0.5251520933556834,0.3375900297789738,0.9441136624593748,0.07717372943694174,0.7346328779075291,0.16235291008094987,0.05588633754062512,0.07717372943694176,55.88633754062513,77.17372943694177
patchcore_lite,128,0.8685872729173748,0.1658170166694697,0.9381522874746931,0.08856924018915077,0.948772715626336,0.04181491741767441,0.4586721175559695,0.21207624995437113,0.6532722896244848,0.3316881652081261,0.8673221321501553,0.26991881696188075,0.569585183932518,0.34080674289607366,0.9431236240154831,0.06304762884187112,0.7563544039740006,0.1801617802641651,0.05687637598451687,0.06304762884187111,56.87637598451688,63.04762884187111
