method,macro_fpr,category_cluster_ci_low,category_cluster_ci_high,category_fpr_min,category_fpr_q1,category_fpr_median,category_fpr_q3,category_fpr_max,macro_false_alarms_per_1000,pooled_test_false_positive,pooled_test_true_negative,pooled_fpr
CalibFreq-Patch (ours),0.05768325517679819,0.03178570400673001,0.08773486568545547,0.0,0.01695402298850575,0.030303030303030304,0.1089939024390244,0.17543859649122806,57.6832551767982,75,1326,0.05353319057815846
Frequency only,0.11417380243640894,0.02344377964116875,0.2519203585392744,0.0,0.0,0.034482758620689655,0.07462121212121212,0.9375,114.17380243640893,151,1250,0.10778015703069237
PaDiM-Diag,0.053098035847093765,0.029231290852039935,0.07872424691247198,0.0,0.002777777777777778,0.04065040650406504,0.08206521739130435,0.14035087719298245,53.09803584709377,70,1331,0.049964311206281226
PaDiM-Diag + gate,0.053836397726759994,0.03013330859426866,0.07952288316860151,0.0,0.002777777777777778,0.041666666666666664,0.08371212121212121,0.14035087719298245,53.83639772675999,71,1330,0.05067808708065667
PatchCore-Lite,0.05644680531229954,0.030608746950973407,0.08638434194202187,0.0,0.01695402298850575,0.030303030303030304,0.10492886178861789,0.17543859649122806,56.44680531229955,73,1328,0.052105638829407566
PatchCore-WR50-256,0.04518694092156638,0.02548541332480613,0.06710426613654631,0.0,0.012784090909090908,0.025641025641025644,0.08106884057971014,0.1111111111111111,45.186940921566396,65,1336,0.046395431834404
