,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,image_f1_conformal,image_f1_conformal,image_precision_conformal,image_precision_conformal,image_recall_conformal,image_recall_conformal,image_specificity_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,false_alarms_per_1000_normals
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
upper_quantile,,,,,,,,,,,,,,,,,,,,,,
0.99,0.8595071080643585,0.17644129783667187,0.9337352474852884,0.09181935679037048,0.9501020731476821,0.04040132070833208,0.4637409697148854,0.21435445684824597,0.6763552440383795,0.2974711292541437,0.9510450044590194,0.09691571110007735,0.5854738920660684,0.3213051395265952,0.9455688893663688,0.07228917025973494,0.7655213907162186,0.16645030750372658,0.05443111063363116,0.07228917025973493,54.431110633631164,72.28917025973492
0.995,0.8589317597482364,0.17669401030706597,0.9336777426694454,0.09168689445074983,0.9500373595696305,0.040371099378304694,0.4617741204026196,0.21363560409819735,0.6803937846574343,0.2946418095011897,0.950678415336457,0.1013036193950355,0.5887041163786663,0.31648454982116464,0.9455688893663688,0.07228917025973494,0.7671365028725176,0.16404029286905894,0.05443111063363116,0.07228917025973493,54.431110633631164,72.28917025973492
0.999,0.8590515500255839,0.17665010052853497,0.9339033661699131,0.09156905396949436,0.9499895305640739,0.04033876942601399,0.4604159159523993,0.21224640941191433,0.689746641165737,0.2883227854169445,0.9501992227961676,0.1063381385155364,0.5963912683832764,0.3056418976304829,0.9455688893663688,0.07228917025973494,0.7709800788748226,0.1597631611108909,0.05443111063363116,0.07228917025973493,54.431110633631164,72.28917025973492
