normal_budget_requested,allocation_strategy,category,normal_budget_achieved,fit_images,branch_calibration_images,threshold_calibration_images,priority_achieved
128.0,proportional,metal_nut,128.0,90.0,19.0,19.0,True
128.0,proportional,pill,128.0,90.0,19.0,19.0,True
128.0,proportional,screw,128.0,90.0,19.0,19.0,True
128.0,proportional,tile,128.0,90.0,19.0,19.0,True
128.0,proportional,toothbrush,60.0,42.0,9.0,9.0,False
128.0,proportional,transistor,128.0,90.0,19.0,19.0,True
128.0,proportional,wood,128.0,90.0,19.0,19.0,True
128.0,proportional,zipper,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,bottle,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,cable,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,capsule,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,carpet,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,grid,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,hazelnut,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,leather,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,metal_nut,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,pill,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,screw,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,tile,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,toothbrush,60.0,32.0,9.0,19.0,True
128.0,threshold_prioritized,transistor,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,wood,128.0,90.0,19.0,19.0,True
128.0,threshold_prioritized,zipper,128.0,90.0,19.0,19.0,True
