experiment,category,seed,method,fit_images,branch_calibration_images,threshold_calibration_images,total_normal_images,fit_and_score_seconds,rss_mb,memory_vectors,memory_bytes,patchcore_scoring_seconds,branch_upper_quantile,image_auroc,image_ap,pixel_auroc,pixel_ap,threshold,threshold_alpha,threshold_calibration_count,threshold_conformal_rank,threshold_is_finite,threshold_min_attainable_alpha,image_f1_conformal,image_f1_normal95,image_precision_conformal,image_recall_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,test_true_positive,test_false_positive,test_true_negative,test_false_negative,weight,normal_budget,upper_quantile,branch_calibration_fraction,translation_px,brightness,descriptor_channels,condition,translation_dx,translation_dy,border_mode,registration_dx,registration_dy,interior_image_auroc,interior_image_ap,interior_normal_fpr,interior_recall,valid_pixel_fraction,interior_grid_x0,interior_grid_x1,interior_grid_y0,interior_grid_y1,interior_grid_valid_cells,interior_grid_total_cells,interior_equivalent_pixel_x0,interior_equivalent_pixel_x1,interior_equivalent_pixel_y0,interior_equivalent_pixel_y1,normal_budget_requested,normal_budget_achieved,allocation_strategy,priority_target,priority_achieved
threshold_priority,bottle,20260716,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.027013833001547027,0.995,0.9833333333333333,0.9953195454159005,0.979222845488272,0.7232208109412781,1.9759109020233154,0.05,19.0,19.0,True,0.05,0.9586776859504132,0.9586776859504132,1.0,0.9206349206349206,1.0,0.9603174603174602,0.0,0.0,58,0,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,bottle,20260716,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.027013833001547027,0.995,0.9833333333333333,0.9953195454159005,0.9790488230800357,0.7188356923973487,1.9759109020233154,0.05,19.0,19.0,True,0.05,0.9586776859504132,0.9586776859504132,1.0,0.9206349206349206,1.0,0.9603174603174602,0.0,0.0,58,0,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,cable,20260714,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.043548875000851694,0.995,0.7664917541229386,0.8611983007030372,0.9401365082986387,0.49707561065992617,1.3461700677871704,0.05,19.0,19.0,True,0.05,0.6086956521739131,0.6086956521739131,0.9130434782608695,0.45652173913043476,0.9310344827586207,0.6937781109445277,0.06896551724137931,68.9655172413793,42,4,54,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,cable,20260714,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.043548875000851694,0.995,0.7663043478260869,0.8611303937592927,0.9401418740805605,0.49917648887442984,1.3461700677871704,0.05,19.0,19.0,True,0.05,0.6086956521739131,0.6086956521739131,0.9130434782608695,0.45652173913043476,0.9310344827586207,0.6937781109445277,0.06896551724137931,68.9655172413793,42,4,54,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,cable,20260715,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.037456874997587875,0.995,0.77380059970015,0.8717813570821185,0.943076510407956,0.5034718415708853,1.1929746866226196,0.05,19.0,19.0,True,0.05,0.6428571428571429,0.6428571428571429,0.9375,0.4891304347826087,0.9482758620689655,0.7187031484257871,0.05172413793103448,51.724137931034484,45,3,55,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,cable,20260715,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.037456874997587875,0.995,0.77380059970015,0.8717813570821185,0.943078577551763,0.5040991907957589,1.1929746866226196,0.05,19.0,19.0,True,0.05,0.6428571428571429,0.6428571428571429,0.9375,0.4891304347826087,0.9482758620689655,0.7187031484257871,0.05172413793103448,51.724137931034484,45,3,55,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,cable,20260716,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.029852291001589037,0.995,0.8120314842578711,0.9006561501837504,0.9504651121344247,0.5673204454336153,1.2359449863433838,0.05,19.0,19.0,True,0.05,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.75,0.0,0.0,46,0,58,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,cable,20260716,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.029852291001589037,0.995,0.8124062968515742,0.9007964231501104,0.9504678594767874,0.5684051809358885,1.2359449863433838,0.05,19.0,19.0,True,0.05,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.75,0.0,0.0,46,0,58,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,capsule,20260714,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.03820799999812152,0.995,0.6059034702832071,0.8507786458725283,0.9450298064823603,0.15770259481886775,2.282712697982788,0.05,19.0,19.0,True,0.05,0.08695652173913043,0.08695652173913043,0.8333333333333334,0.045871559633027525,0.9565217391304348,0.5011966493817311,0.043478260869565216,43.47826086956522,5,1,22,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,capsule,20260714,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.03820799999812152,0.995,0.6086956521739131,0.8560066579174002,0.9450847071618002,0.16310261453863412,1.9309929609298706,0.05,19.0,19.0,True,0.05,0.11965811965811966,0.11965811965811966,0.875,0.06422018348623854,0.9565217391304348,0.5103709613083367,0.043478260869565216,43.47826086956522,7,1,22,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
